asset_id,symbol,asset_class,sector,industry,country,market_cap,source,status
stock:ABAT,ABAT,stock,Industrials,Waste Management,United States,301475872.0,yfinance,complete
stock:ABBV,ABBV,stock,Healthcare,Drug Manufacturers - General,United States,458235346944.0,yfinance,complete
stock:ABCB,ABCB,stock,Financial Services,Banks - Regional,United States,5887261184.0,yfinance,complete
stock:ABCL,ABCL,stock,Healthcare,Biotechnology,Canada,1621543296.0,yfinance,complete
stock:ABEO,ABEO,stock,Healthcare,Biotechnology,United States,344820640.0,yfinance,complete
stock:ABG,ABG,stock,Consumer Cyclical,Auto & Truck Dealerships,United States,4193698560.0,yfinance,complete
stock:ABLV,ABLV,stock,Consumer Cyclical,Specialty Retail,China,45932624.0,yfinance,complete
stock:ABM,ABM,stock,Industrials,Specialty Business Services,United States,2795481856.0,yfinance,complete
stock:ABNB,ABNB,stock,Consumer Cyclical,Travel Services,United States,83743547392.0,yfinance,complete
stock:ABOS,ABOS,stock,Healthcare,Biotechnology,United States,153844768.0,yfinance,complete
stock:ABR,ABR,stock,Real Estate,REIT - Mortgage,United States,1040571776.0,yfinance,complete
stock:ABSI,ABSI,stock,Healthcare,Biotechnology,United States,1280666496.0,yfinance,complete
stock:ABT,ABT,stock,Healthcare,Medical Devices,United States,179511263232.0,yfinance,complete
stock:ABTC,ABTC,stock,Financial Services,Capital Markets,United States,697840000.0,yfinance,complete
stock:ABTS,ABTS,stock,Financial Services,Capital Markets,Hong Kong,3376049.0,yfinance,complete
stock:ABUS,ABUS,stock,Healthcare,Biotechnology,United States,865215232.0,yfinance,complete
stock:ABVC,ABVC,stock,Healthcare,Biotechnology,United States,29900508.0,yfinance,complete
stock:ABX,ABX,stock,Financial Services,Insurance - Life,United States,995674176.0,yfinance,complete
stock:ABXL,ABXL,stock,,,,,yfinance,unavailable
stock:ACA,ACA,stock,Industrials,Engineering & Construction,United States,7120486912.0,yfinance,complete
stock:ACAA,ACAA,stock,Financial Services,Shell Companies,United States,356825120.0,yfinance,complete
stock:ACAD,ACAD,stock,Healthcare,Biotechnology,United States,4253499136.0,yfinance,complete
stock:ACB,ACB,stock,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,165385536.0,yfinance,complete
stock:ACCL,ACCL,stock,Industrials,Consulting Services,Hong Kong,29713288.0,yfinance,complete
stock:ACCO,ACCO,stock,Industrials,Business Equipment & Supplies,United States,369031168.0,yfinance,complete
stock:ACCS,ACCS,stock,Communication Services,Advertising Agencies,United States,25544508.0,yfinance,complete
stock:ACDC,ACDC,stock,Energy,Oil & Gas Equipment & Services,United States,770722432.0,yfinance,complete
stock:ACEL,ACEL,stock,Consumer Cyclical,Gambling,United States,979156544.0,yfinance,complete
stock:ACET,ACET,stock,Healthcare,Biotechnology,United States,72822760.0,yfinance,complete
stock:ACFN,ACFN,stock,Technology,Scientific & Technical Instruments,United States,51168464.0,yfinance,complete
stock:ACGC,ACGC,stock,Financial Services,Shell Companies,United States,295244288.0,yfinance,complete
stock:ACGL,ACGL,stock,Financial Services,Insurance - Diversified,Bermuda,36112908288.0,yfinance,complete
stock:ACH,ACH,stock,Healthcare,Medical Distribution,United States,240472832.0,yfinance,complete
stock:ACHC,ACHC,stock,Healthcare,Medical Care Facilities,United States,3173781760.0,yfinance,complete
stock:ACHR,ACHR,stock,Industrials,Aerospace & Defense,United States,3638865664.0,yfinance,complete
stock:ACHV,ACHV,stock,Healthcare,Biotechnology,United States,626220224.0,yfinance,complete
stock:ACI,ACI,stock,Consumer Defensive,Grocery Stores,United States,5402255872.0,yfinance,complete
stock:ACIC,ACIC,stock,Financial Services,Insurance - Property & Casualty,United States,498210400.0,yfinance,complete
stock:ACIU,ACIU,stock,Healthcare,Biotechnology,Switzerland,226955072.0,yfinance,complete
stock:ACIW,ACIW,stock,Technology,Software - Infrastructure,United States,5724562944.0,yfinance,complete
stock:ACLS,ACLS,stock,Technology,Semiconductor Equipment & Materials,United States,4121415680.0,yfinance,complete
stock:ACM,ACM,stock,Industrials,Engineering & Construction,United States,9068576768.0,yfinance,complete
stock:ACMR,ACMR,stock,Technology,Semiconductor Equipment & Materials,United States,5827312128.0,yfinance,complete
stock:ACN,ACN,stock,Technology,Information Technology Services,Ireland,89949372416.0,yfinance,complete
stock:ACNB,ACNB,stock,Financial Services,Banks - Regional,United States,634167936.0,yfinance,complete
stock:ACNT,ACNT,stock,Basic Materials,Chemicals,United States,136703008.0,yfinance,complete
stock:ACOG,ACOG,stock,Healthcare,Biotechnology,United States,172015424.0,yfinance,complete
stock:ACON,ACON,stock,Healthcare,Health Information Services,United States,5958645.0,yfinance,complete
stock:ACP,ACP,stock,Financial Services,Asset Management,United Kingdom,639900480.0,yfinance,complete
stock:ACR,ACR,stock,Real Estate,REIT - Mortgage,United States,128592264.0,yfinance,complete
stock:ACRE,ACRE,stock,Real Estate,REIT - Mortgage,United States,252439072.0,yfinance,complete
stock:ACRS,ACRS,stock,Healthcare,Biotechnology,United States,730441024.0,yfinance,complete
stock:ACRV,ACRV,stock,Healthcare,Biotechnology,United States,68482768.0,yfinance,complete
stock:ACT,ACT,stock,Financial Services,Insurance - Specialty,United States,6527730688.0,yfinance,complete
stock:ACTG,ACTG,stock,Industrials,Business Equipment & Supplies,United States,450105344.0,yfinance,complete
stock:ACTU,ACTU,stock,Healthcare,Biotechnology,United States,28232504.0,yfinance,complete
stock:ACV,ACV,stock,Financial Services,Asset Management,United States,278405632.0,yfinance,complete
stock:ACVA,ACVA,stock,Consumer Cyclical,Auto & Truck Dealerships,United States,1349541248.0,yfinance,complete
stock:ACXP,ACXP,stock,Healthcare,Biotechnology,United States,6102788.0,yfinance,complete
stock:AD,AD,stock,Communication Services,Telecom Services,United States,3015130368.0,yfinance,complete
stock:ADAC,ADAC,stock,Financial Services,Shell Companies,United States,289512480.0,yfinance,complete
stock:ADAG,ADAG,stock,Healthcare,Biotechnology,China,211432304.0,yfinance,complete
stock:ADAM,ADAM,stock,Real Estate,REIT - Mortgage,United States,777298496.0,yfinance,complete
stock:ADAMG,ADAMG,stock,,,United States,,yfinance,partial
stock:ADAMH,ADAMH,stock,,,United States,,yfinance,partial
stock:ADAMI,ADAMI,stock,,,,,yfinance,unavailable
stock:ADAMO,ADAMO,stock,,,,,yfinance,unavailable
stock:ADBE,ADBE,stock,Technology,Software - Application,United States,89481224192.0,yfinance,complete
stock:ADC,ADC,stock,Real Estate,REIT - Retail,United States,9711922176.0,yfinance,complete
stock:ADCT,ADCT,stock,Healthcare,Drug Manufacturers - Specialty & Generic,Switzerland,146269824.0,yfinance,complete
stock:ADEA,ADEA,stock,Technology,Software - Application,United States,2862123008.0,yfinance,complete
stock:ADGM,ADGM,stock,Healthcare,Medical Devices,United States,10705442.0,yfinance,complete
stock:ADI,ADI,stock,Technology,Semiconductors,United States,181128183808.0,yfinance,complete
stock:ADIL,ADIL,stock,Healthcare,Biotechnology,United States,6083944.0,yfinance,complete
stock:ADM,ADM,stock,Consumer Defensive,Farm Products,United States,41409703936.0,yfinance,complete
stock:ADMA,ADMA,stock,Healthcare,Biotechnology,United States,1916760448.0,yfinance,complete
stock:ADNT,ADNT,stock,Consumer Cyclical,Auto Parts,Ireland,1599633024.0,yfinance,complete
stock:ADP,ADP,stock,Technology,Software - Application,United States,99969540096.0,yfinance,complete
stock:ADPT,ADPT,stock,Healthcare,Diagnostics & Research,United States,3564188416.0,yfinance,complete
stock:ADSE,ADSE,stock,Industrials,Electrical Equipment & Parts,Ireland,902308032.0,yfinance,complete
stock:ADSK,ADSK,stock,Technology,Software - Application,United States,44287717376.0,yfinance,complete
stock:ADT,ADT,stock,Industrials,Security & Protection Services,United States,5162060800.0,yfinance,complete
stock:ADTN,ADTN,stock,Technology,Communication Equipment,United States,797831296.0,yfinance,complete
stock:ADUR,ADUR,stock,Industrials,Pollution & Treatment Controls,Canada,457574592.0,yfinance,complete
stock:ADUS,ADUS,stock,Healthcare,Medical Care Facilities,United States,2138050176.0,yfinance,complete
stock:ADV,ADV,stock,Communication Services,Advertising Agencies,United States,484480000.0,yfinance,complete
stock:ADX,ADX,stock,Financial Services,Asset Management,United States,3170918144.0,yfinance,complete
stock:AEC,AEC,stock,Energy,Uranium,Canada,80780944.0,yfinance,complete
stock:AEFC,AEFC,stock,,,,,yfinance,unavailable
stock:AEG,AEG,stock,Financial Services,Insurance - Diversified,Netherlands,13499763712.0,yfinance,complete
stock:AEHL,AEHL,stock,Industrials,Building Products & Equipment,China,9747862.0,yfinance,complete
stock:AEIS,AEIS,stock,Industrials,Electrical Equipment & Parts,United States,12162838528.0,yfinance,complete
stock:AEMD,AEMD,stock,Healthcare,Medical Devices,United States,1539842.0,yfinance,complete
stock:AENT,AENT,stock,Communication Services,Entertainment,United States,301158048.0,yfinance,complete
stock:AEO,AEO,stock,Consumer Cyclical,Apparel Retail,United States,2848746496.0,yfinance,complete
stock:AEON,AEON,stock,Healthcare,Biotechnology,United States,11070613.0,yfinance,complete
stock:AEP,AEP,stock,Utilities,Utilities - Regulated Electric,United States,73747988480.0,yfinance,complete
stock:AER,AER,stock,Industrials,Rental & Leasing Services,Ireland,23857756160.0,yfinance,complete
stock:AERT,AERT,stock,Industrials,Consulting Services,Singapore,37707524.0,yfinance,complete
stock:AES,AES,stock,Utilities,Utilities - Diversified,United States,10583260160.0,yfinance,complete
stock:AEVA,AEVA,stock,Technology,Software - Infrastructure,United States,1002897728.0,yfinance,complete
stock:AEYE,AEYE,stock,Technology,Software - Application,United States,70837664.0,yfinance,complete
stock:AFCG,AFCG,stock,Financial Services,Asset Management,United States,58619292.0,yfinance,complete
stock:AFG,AFG,stock,Financial Services,Insurance - Property & Casualty,United States,11944454144.0,yfinance,complete
stock:AFGB,AFGB,stock,,,,,yfinance,unavailable
stock:AFGC,AFGC,stock,,,,,yfinance,unavailable
stock:AFGE,AFGE,stock,,,,,yfinance,unavailable
stock:AFL,AFL,stock,Financial Services,Insurance - Life,United States,63928500224.0,yfinance,complete
stock:AFRM,AFRM,stock,Financial Services,Credit Services,United States,23519926272.0,yfinance,complete
stock:AFYA,AFYA,stock,Consumer Defensive,Education & Training Services,Brazil,1271191424.0,yfinance,complete
stock:AG,AG,stock,Basic Materials,Silver,Canada,8053381632.0,yfinance,complete
stock:AGCC,AGCC,stock,Consumer Defensive,Beverages - Wineries & Distilleries,Taiwan,339746720.0,yfinance,complete
stock:AGCO,AGCO,stock,Industrials,Farm & Heavy Construction Machinery,United States,8776637440.0,yfinance,complete
stock:AGD,AGD,stock,Financial Services,Asset Management,United Kingdom,314730912.0,yfinance,complete
stock:AGL,AGL,stock,Healthcare,Medical Care Facilities,United States,1635011072.0,yfinance,complete
stock:AGM,AGM,stock,Financial Services,Credit Services,United States,2272973568.0,yfinance,complete
stock:AGMB,AGMB,stock,Healthcare,Biotechnology,Belgium,616092160.0,yfinance,complete
stock:AGMH,AGMH,stock,Technology,Computer Hardware,Hong Kong,2526755.0,yfinance,complete
stock:AGNT,AGNT,stock,Real Estate,Real Estate Services,United States,664690240.0,yfinance,complete
stock:AGO,AGO,stock,Financial Services,Insurance - Specialty,Bermuda,3779951104.0,yfinance,complete
stock:AGRO,AGRO,stock,Consumer Defensive,Farm Products,Luxembourg,1526783488.0,yfinance,complete
stock:AGX,AGX,stock,Industrials,Engineering & Construction,United States,7975830016.0,yfinance,complete
stock:AHL-D,AHL-D,stock,,,,,yfinance,unavailable
stock:AHMA,AHMA,stock,Consumer Cyclical,Travel Services,United Arab Emirates,47262752.0,yfinance,complete
stock:AHR,AHR,stock,Real Estate,REIT - Healthcare Facilities,United States,11874128896.0,yfinance,complete
stock:AHRT,AHRT,stock,Real Estate,REIT - Diversified,United States,683819456.0,yfinance,complete
stock:AHT,AHT,stock,Real Estate,REIT - Hotel & Motel,United States,21715202.0,yfinance,complete
stock:AIB,AIB,stock,Technology,Software - Application,United States,134483648.0,yfinance,complete
stock:AIBZ,AIBZ,stock,Technology,Software - Infrastructure,Canada,323180640.0,yfinance,complete
stock:AIFA,AIFA,stock,Technology,Software - Infrastructure,United States,12244840.0,yfinance,complete
stock:AIFF,AIFF,stock,Technology,Software - Application,United States,17322462.0,yfinance,complete
stock:AIFU,AIFU,stock,Financial Services,Insurance Brokers,China,201414752.0,yfinance,complete
stock:AIG,AIG,stock,Financial Services,Insurance - Diversified,United States,41918103552.0,yfinance,complete
stock:AII,AII,stock,Financial Services,Insurance - Property & Casualty,United States,365760544.0,yfinance,complete
stock:AIIA,AIIA,stock,Financial Services,Shell Companies,United States,196950896.0,yfinance,complete
stock:AIIO,AIIO,stock,Consumer Cyclical,Auto Manufacturers,United Arab Emirates,435727424.0,yfinance,complete
stock:AIM,AIM,stock,Healthcare,Biotechnology,United States,6903336.0,yfinance,complete
stock:AIMD,AIMD,stock,Technology,Scientific & Technical Instruments,United States,10310359.0,yfinance,complete
stock:AIN,AIN,stock,Consumer Cyclical,Textile Manufacturing,United States,2140516224.0,yfinance,complete
stock:AIP,AIP,stock,Technology,Semiconductors,United States,1397164288.0,yfinance,complete
stock:AIRG,AIRG,stock,Technology,Communication Equipment,United States,74280072.0,yfinance,complete
stock:AIRI,AIRI,stock,Industrials,Aerospace & Defense,United States,13193790.0,yfinance,complete
stock:AIRJ,AIRJ,stock,Industrials,Building Products & Equipment,United States,301910464.0,yfinance,complete
stock:AIRO,AIRO,stock,Industrials,Aerospace & Defense,United States,213830384.0,yfinance,complete
stock:AIRT,AIRT,stock,Industrials,Conglomerates,United States,72944096.0,yfinance,complete
stock:AISP,AISP,stock,Technology,Software - Infrastructure,United States,69223512.0,yfinance,complete
stock:AIT,AIT,stock,Industrials,Industrial Distribution,United States,12827177984.0,yfinance,complete
stock:AIZ,AIZ,stock,Financial Services,Insurance - Property & Casualty,United States,13721722880.0,yfinance,complete
stock:AIZN,AIZN,stock,,,,,yfinance,unavailable
stock:AJG,AJG,stock,Financial Services,Insurance Brokers,United States,63662522368.0,yfinance,complete
stock:AKAM,AKAM,stock,Technology,Software - Infrastructure,United States,16773120000.0,yfinance,complete
stock:AKAN,AKAN,stock,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,4180701.0,yfinance,complete
stock:AKO.A,AKO.A,stock,,,,,yfinance,unavailable
stock:AKO.B,AKO.B,stock,,,,,yfinance,unavailable
stock:AKTS,AKTS,stock,Healthcare,Biotechnology,United States,1320578176.0,yfinance,complete
stock:ALAB,ALAB,stock,Technology,Semiconductors,United States,49979121664.0,yfinance,complete
stock:ALB,ALB,stock,Basic Materials,Specialty Chemicals,United States,13544794112.0,yfinance,complete
stock:ALDF,ALDF,stock,Financial Services,Shell Companies,United States,320784608.0,yfinance,complete
stock:ALF,ALF,stock,Financial Services,Shell Companies,United States,391000000.0,yfinance,complete
stock:ALGM,ALGM,stock,Technology,Semiconductors,United States,8575805440.0,yfinance,complete
stock:ALGS,ALGS,stock,Healthcare,Biotechnology,United States,25247950.0,yfinance,complete
stock:ALGT,ALGT,stock,Industrials,Airlines,United States,2636145152.0,yfinance,complete
stock:ALH,ALH,stock,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,5094311936.0,yfinance,complete
stock:ALHC,ALHC,stock,Healthcare,Healthcare Plans,United States,4016838144.0,yfinance,complete
stock:ALL,ALL,stock,Financial Services,Insurance - Property & Casualty,United States,66921717760.0,yfinance,complete
stock:ALLE,ALLE,stock,Industrials,Security & Protection Services,Ireland,13041241088.0,yfinance,complete
stock:ALLY,ALLY,stock,Financial Services,Credit Services,United States,13056249856.0,yfinance,complete
stock:ALMR,ALMR,stock,Healthcare,Medical Devices,United States,1793773440.0,yfinance,complete
stock:ALOY,ALOY,stock,Basic Materials,Other Industrial Metals & Mining,United States,479323072.0,yfinance,complete
stock:ALP,ALP,stock,Financial Services,Asset Management,British Virgin Islands,5083428.0,yfinance,complete
stock:ALRM,ALRM,stock,Technology,Software - Application,United States,2561069056.0,yfinance,complete
stock:ALRS,ALRS,stock,Financial Services,Banks - Regional,United States,821706752.0,yfinance,complete
stock:ALTI,ALTI,stock,Financial Services,Asset Management,United States,517016832.0,yfinance,complete
stock:ALTO,ALTO,stock,Basic Materials,Specialty Chemicals,United States,359535264.0,yfinance,complete
stock:ALUB,ALUB,stock,Financial Services,Shell Companies,United States,360812512.0,yfinance,complete
stock:ALV,ALV,stock,Consumer Cyclical,Auto Parts,Sweden,8604640256.0,yfinance,complete
stock:ALXO,ALXO,stock,Healthcare,Biotechnology,United States,273162720.0,yfinance,complete
stock:AMAL,AMAL,stock,Financial Services,Banks - Regional,United States,1476641664.0,yfinance,complete
stock:AMBO,AMBO,stock,Consumer Defensive,Education & Training Services,United States,6407121.0,yfinance,complete
stock:AMBQ,AMBQ,stock,Technology,Semiconductors,United States,1696941312.0,yfinance,complete
stock:AMC,AMC,stock,Communication Services,Entertainment,United States,2026212480.0,yfinance,complete
stock:AMCR,AMCR,stock,Consumer Cyclical,Packaging & Containers,Switzerland,20592877568.0,yfinance,complete
stock:AMCX,AMCX,stock,Communication Services,Entertainment,United States,430052288.0,yfinance,complete
stock:AME,AME,stock,Industrials,Specialty Industrial Machinery,United States,55460253696.0,yfinance,complete
stock:AMGN,AMGN,stock,Healthcare,Drug Manufacturers - General,United States,202951901184.0,yfinance,complete
stock:AMH,AMH,stock,Real Estate,REIT - Residential,United States,13680098304.0,yfinance,complete
stock:AMIX,AMIX,stock,Healthcare,Medical Devices,United States,1585560.0,yfinance,complete
stock:AMLX,AMLX,stock,Healthcare,Drug Manufacturers - Specialty & Generic,United States,2046940160.0,yfinance,complete
stock:AMOD,AMOD,stock,Technology,Software - Application,United States,18433522.0,yfinance,complete
stock:AMPG,AMPG,stock,Technology,Communication Equipment,United States,136956224.0,yfinance,complete
stock:AMPH,AMPH,stock,Healthcare,Drug Manufacturers - Specialty & Generic,United States,825419456.0,yfinance,complete
stock:AMPX,AMPX,stock,Industrials,Electrical Equipment & Parts,United States,1308635008.0,yfinance,complete
stock:AMPY,AMPY,stock,Energy,Oil & Gas E&P,United States,162672496.0,yfinance,complete
stock:AMRC,AMRC,stock,Industrials,Engineering & Construction,United States,1151693312.0,yfinance,complete
stock:AMRX,AMRX,stock,Healthcare,Drug Manufacturers - Specialty & Generic,United States,5722418176.0,yfinance,complete
stock:AMRZ,AMRZ,stock,Basic Materials,Building Materials,Switzerland,27261679616.0,yfinance,complete
stock:AMS,AMS,stock,Healthcare,Medical Care Facilities,United States,9672500.0,yfinance,complete
stock:AMSC,AMSC,stock,Industrials,Specialty Industrial Machinery,United States,1479069696.0,yfinance,complete
stock:AMSF,AMSF,stock,Financial Services,Insurance - Specialty,United States,568781696.0,yfinance,complete
stock:AMT,AMT,stock,Real Estate,REIT - Specialty,United States,77650395136.0,yfinance,complete
stock:AMTM,AMTM,stock,Industrials,Specialty Business Services,United States,5509332992.0,yfinance,complete
stock:AMTX,AMTX,stock,Basic Materials,Specialty Chemicals,United States,118567512.0,yfinance,complete
stock:AMZE,AMZE,stock,Technology,Software - Application,United States,678978.0,yfinance,complete
stock:AMZN,AMZN,stock,Consumer Cyclical,Internet Retail,United States,2496832733184.0,yfinance,complete
stock:AN,AN,stock,Consumer Cyclical,Auto & Truck Dealerships,United States,6966013952.0,yfinance,complete
stock:ANDE,ANDE,stock,Consumer Defensive,Food Distribution,United States,2646340608.0,yfinance,complete
stock:ANDG,ANDG,stock,Consumer Cyclical,Personal Services,United States,4816639488.0,yfinance,complete
stock:ANF,ANF,stock,Consumer Cyclical,Apparel Retail,United States,4168138752.0,yfinance,complete
stock:ANGH,ANGH,stock,Communication Services,Entertainment,United Arab Emirates,30729700.0,yfinance,complete
stock:ANGI,ANGI,stock,Communication Services,Internet Content & Information,United States,223677536.0,yfinance,complete
stock:ANGO,ANGO,stock,Healthcare,Medical Instruments & Supplies,United States,561707136.0,yfinance,complete
stock:ANIK,ANIK,stock,Healthcare,Drug Manufacturers - Specialty & Generic,United States,198919072.0,yfinance,complete
stock:ANIX,ANIX,stock,Healthcare,Biotechnology,United States,125885336.0,yfinance,complete
stock:ANSC,ANSC,stock,Financial Services,Shell Companies,United States,475715840.0,yfinance,complete
stock:ANTX,ANTX,stock,Healthcare,Biotechnology,United States,177199504.0,yfinance,complete
stock:ANY,ANY,stock,Financial Services,Capital Markets,United States,14595775.0,yfinance,complete
stock:AOD,AOD,stock,Financial Services,Asset Management,United Kingdom,1096643456.0,yfinance,complete
stock:AOMD,AOMD,stock,,,,,yfinance,unavailable
stock:AOMN,AOMN,stock,,,,,yfinance,unavailable
stock:AOMR,AOMR,stock,Real Estate,REIT - Mortgage,United States,219248912.0,yfinance,complete
stock:AON,AON,stock,Financial Services,Insurance Brokers,Ireland,77250781184.0,yfinance,complete
stock:AOSL,AOSL,stock,Technology,Semiconductors,United States,923327488.0,yfinance,complete
stock:AOUT,AOUT,stock,Consumer Cyclical,Leisure,United States,161967200.0,yfinance,complete
stock:AP,AP,stock,Industrials,Metal Fabrication,United States,166676384.0,yfinance,complete
stock:APA,APA,stock,Energy,Oil & Gas E&P,United States,12777950208.0,yfinance,complete
stock:APAC,APAC,stock,Financial Services,Shell Companies,United States,81872744.0,yfinance,complete
stock:APAM,APAM,stock,Financial Services,Asset Management,United States,2792874752.0,yfinance,complete
stock:APC,APC,stock,Energy,Oil & Gas Refining & Marketing,United States,1719937792.0,yfinance,complete
stock:APGE,APGE,stock,Healthcare,Biotechnology,United States,10155169792.0,yfinance,complete
stock:API,API,stock,Technology,Software - Application,United States,325516672.0,yfinance,complete
stock:APLD,APLD,stock,Technology,Information Technology Services,United States,7770073600.0,yfinance,complete
stock:APLM,APLM,stock,Healthcare,Biotechnology,United States,39990104.0,yfinance,complete
stock:APO,APO,stock,Financial Services,Asset Management,United States,70686810112.0,yfinance,complete
stock:APOG,APOG,stock,Industrials,Building Products & Equipment,United States,850174336.0,yfinance,complete
stock:APP,APP,stock,Communication Services,Advertising Agencies,United States,131681574912.0,yfinance,complete
stock:APPF,APPF,stock,Technology,Software - Application,United States,5845574656.0,yfinance,complete
stock:APPN,APPN,stock,Technology,Software - Infrastructure,United States,1743537792.0,yfinance,complete
